type,target,scope,key,value,action,status,message
setting,,global,window_animation_scale,0.5,put,ok,
setting,,global,transition_animation_scale,0.5,put,ok,
setting,,global,animator_duration_scale,0.5,put,ok,
setting,,global,background_process_limit,2,put,ok,
device_config,,activity_manager,max_cached_processes,256,put,ok,
cmd,netpolicy,,,,set,ok,restrict-background
cmd,netpolicy,10383,,,add,ok,restrict-background-blacklist
cmd,netpolicy,10306,,,add,ok,restrict-background-blacklist
cmd,netpolicy,10304
10291
10273
10286,,,add,fail,restrict-background-blacklist
cmd,netpolicy,10345,,,add,ok,restrict-background-blacklist
cmd,netpolicy,com.whatsapp,,,add,skip,uid-not-found
cmd,netpolicy,com.instagram.android,,,add,skip,uid-not-found
setting,,global,private_dns_mode,hostname,put,ok,
setting,,global,private_dns_specifier,family.dns.mullvad.net,put,ok,
setting,,system,peak_refresh_rate,120.0,put,ok,
setting,,system,min_refresh_rate,85.0,put,ok,
setting,,global,wifi_scan_throttle_enabled,0,put,ok,
cmd,usagestats,com.facebook.katana,,rare,set,ok,set-standby-bucket
cmd,usagestats,com.google.android.youtube,,rare,set,ok,set-standby-bucket
cmd,usagestats,com.linkedin.android,,rare,set,ok,set-standby-bucket
cmd,usagestats,com.whatsapp,,frequent,set,fail,set-standby-bucket
cmd,usagestats,com.google.android.gm,,rare,set,ok,set-standby-bucket
cmd,usagestats,com.instagram.android,,rare,set,fail,set-standby-bucket
cmd,appops,com.facebook.katana,,RUN_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.facebook.katana,,RUN_ANY_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.facebook.katana,,WAKE_LOCK,set,ok,ignore
cmd,appops,com.google.android.youtube,,RUN_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.google.android.youtube,,RUN_ANY_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.google.android.youtube,,WAKE_LOCK,set,ok,ignore
cmd,appops,com.google.android.gm,,RUN_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.google.android.gm,,RUN_ANY_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.google.android.gm,,WAKE_LOCK,set,ok,ignore
cmd,appops,com.linkedin.android,,RUN_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.linkedin.android,,RUN_ANY_IN_BACKGROUND,set,ok,ignore
cmd,appops,com.linkedin.android,,WAKE_LOCK,set,ok,ignore
cmd,appops,com.whatsapp,,RUN_IN_BACKGROUND,set,fail,ignore
cmd,appops,com.whatsapp,,RUN_ANY_IN_BACKGROUND,set,fail,ignore
cmd,appops,com.whatsapp,,WAKE_LOCK,set,fail,ignore
cmd,appops,com.instagram.android,,RUN_IN_BACKGROUND,set,fail,ignore
cmd,appops,com.instagram.android,,RUN_ANY_IN_BACKGROUND,set,fail,ignore
cmd,appops,com.instagram.android,,WAKE_LOCK,set,fail,ignore
